date,Isis,terrorism,Syria,Turkey,Iraq,Qatar,Iran,persian gulf,opec,blending,brent,crack spread,crude oil,liquefied natural gas,liquefied petroleum gas,nymex,petroleum,refined products,refinery,residual fuel oil,wti,oil barrel,petroleum industry,crude inventories,lease condensate,hydrocarbons,pentanes,pipeline,GDP,recession,energy,economic growth,commodity,price of gold,price of oil,price of crude,oil volatility,oil producers,oil exporter,oil sands,peak oil,Canada,Japan,Middle East,South America,Norway,Alberta,China,Australia,Russia,Arctic,oil rich,CAD/USD,CAD/JPY,oil market,cost per gallon,refining capacity,fuel efficiency,CPI,oil crisis,inflation,Gulf War,store oil,oil transportation,natural gas,the interest rates,world crude,supply,interest rates,endogenous variables,federal funds rate,real oil price,share of oil,marginal production cost,income elasticity,the oil supply,volatility,demand and supply,production levels,barrels per day,oil markets,world economic growth,impulse response function,var model,crude oil futures,oil prices,spr releases,Government Policy,crude oil prices,oil shock,us oil,american economic review,exchange and interest,the oil,demand shock,US,exchange rates,monetary policy,bureau of economic,global production,market uncertainty,market volatility,spot price,energy information administration,spr release,saudi arabia,private stocks,crude oil supply,wti futures price,funds rate,the middle east,demand,federal funds,impulse responses,wti futures,supply shock,price elasticity,crude oil price,crude price,oil consumption,elasticity of demand,Energy Prices,scarcity rent,oil supply,oil production,oil price,that monetary policy,natural gas production,marginal revenue,multipliers,the regression,strategic petroleum,gasoline demand,oil demand,the interest rate,impulse response,oil futures,interest rate,barrels of oil,real gdp,oil price change,run demand,chinese oil consumption,strategic petroleum reserve,Oil Shocks,us real,futures price
2004-01-01,6,66,8,23,22,14,59,59,44,88,91,0,30,29,29,24,98,69,65,0,9,6,94,0,0,77,100,66,88,9,91,77,84,18,8,7,0,73,31,20,18,100,29,63,100,47,98,83,95,62,47,47,46,0,32,11,15,34,68,35,88,68,30,62,76,24,65,97,70,0,44,25,16,0,35,48,74,61,0,0,49,80,100,71,7,11,0,69,14,18,44,100,25,27,0,79,100,63,71,37,0,60,45,58,0,55,30,0,0,34,81,60,60,60,0,21,32,4,7,41,22,40,0,47,65,8,0,72,17,100,36,30,0,20,15,50,19,72,31,37,20,13,0,43,42,85,31
2004-02-01,6,69,7,22,21,13,52,62,59,100,87,42,30,39,44,22,98,0,68,42,10,7,100,0,100,92,0,66,100,8,95,91,94,11,9,11,0,71,36,23,57,95,30,67,97,43,93,89,94,65,46,28,46,0,41,38,43,34,71,52,88,71,39,84,79,69,88,96,83,0,64,12,46,16,47,32,93,93,68,14,16,79,65,17,27,10,0,95,15,17,42,41,62,30,16,78,92,67,78,60,20,92,38,46,0,56,73,22,93,57,88,64,100,60,0,82,56,6,8,37,47,34,100,63,84,10,13,100,20,75,40,14,100,52,28,79,15,78,12,60,15,27,0,16,27,80,26
2004-03-01,6,100,9,24,24,13,45,64,71,98,86,51,33,59,36,25,98,64,76,0,12,8,88,0,0,89,0,63,96,10,93,83,90,15,8,11,75,73,25,32,49,96,30,70,84,41,90,89,93,65,40,35,56,0,42,37,36,47,71,56,98,72,26,83,69,65,20,96,79,0,17,31,38,79,42,79,100,86,51,35,10,37,0,0,25,12,0,78,10,54,41,84,76,31,100,75,84,84,78,89,100,42,31,63,0,61,73,27,0,25,92,67,36,74,0,76,57,9,10,46,28,29,0,57,95,10,17,37,16,85,37,58,16,35,25,86,20,78,0,69,30,55,0,45,51,79,14
2004-04-01,6,96,9,27,49,14,45,74,81,77,84,48,30,55,69,24,95,66,68,40,13,8,79,0,0,88,0,61,99,10,92,100,92,15,11,13,0,67,29,24,37,93,30,73,88,41,87,89,87,64,33,40,0,0,47,21,28,55,76,53,98,86,50,99,74,53,93,96,100,42,55,12,0,46,39,31,88,90,66,0,54,86,32,17,0,13,0,96,15,42,58,80,36,29,0,79,84,87,75,62,29,40,45,60,99,62,56,0,0,43,81,62,85,100,25,0,60,8,6,64,45,55,0,51,87,9,0,58,45,75,56,19,12,19,38,100,25,93,35,60,14,38,0,30,67,69,27
2004-05-01,5,89,9,27,100,13,49,100,100,84,89,21,47,87,72,37,97,72,65,0,22,22,58,31,0,91,0,61,92,8,90,95,83,16,18,25,34,71,30,29,51,91,30,76,92,44,89,88,95,64,31,55,37,0,46,43,54,70,78,100,95,100,38,100,75,71,100,93,92,37,53,31,26,40,45,26,86,76,11,47,40,58,27,29,100,26,0,100,36,65,74,75,51,30,27,77,84,100,100,93,34,84,38,71,0,66,97,36,0,55,91,61,87,25,0,34,47,18,17,75,39,56,0,76,87,19,11,92,28,74,38,88,31,73,29,95,49,84,46,68,4,18,0,96,46,75,30
2004-06-01,5,63,6,25,31,14,47,51,76,85,85,83,36,47,36,38,94,100,65,69,18,16,68,31,0,86,0,62,80,7,83,65,88,12,14,21,34,79,21,24,40,95,28,58,68,42,97,82,91,57,27,35,0,0,41,37,24,53,75,32,79,55,48,49,69,56,27,97,84,73,58,21,0,13,22,52,94,42,68,12,47,41,27,14,72,17,0,64,21,50,38,62,31,24,13,80,84,66,64,46,34,63,33,72,0,85,61,54,0,50,66,57,92,0,22,17,53,11,12,69,21,34,0,48,75,16,0,25,19,80,41,20,10,33,21,69,37,87,55,34,20,18,0,13,34,85,21
2004-07-01,6,56,7,26,26,13,44,37,30,89,87,36,27,49,100,27,92,30,66,0,14,8,74,0,0,63,0,54,73,5,79,59,76,11,10,19,35,64,26,24,34,93,27,50,65,45,96,78,89,51,25,36,0,0,45,32,31,46,73,24,66,42,33,63,63,59,70,96,73,0,35,11,27,0,24,69,81,38,48,25,63,78,29,31,23,15,0,66,15,30,28,59,65,23,0,77,83,75,46,56,35,58,32,45,0,56,38,38,0,44,54,57,46,13,0,36,42,12,11,43,32,42,87,46,75,11,23,0,9,44,34,9,22,35,22,86,27,76,11,36,21,19,0,5,0,74,20
2004-08-01,5,60,7,26,26,14,47,36,47,88,96,47,53,84,58,55,100,42,69,100,21,21,64,30,0,77,0,57,80,6,82,69,88,11,20,25,66,100,29,31,46,92,28,50,70,45,91,85,100,56,29,30,0,0,55,36,23,37,70,41,72,39,46,90,73,40,45,100,71,35,51,70,0,13,16,26,86,58,11,34,84,72,26,14,97,32,0,64,39,56,55,58,10,27,0,83,80,65,68,61,81,68,37,55,0,50,70,18,75,37,46,60,69,48,0,33,43,23,27,76,29,56,40,53,83,25,11,57,37,46,33,39,10,68,24,60,75,80,15,64,28,36,0,38,100,80,32
2004-09-01,6,89,7,25,39,14,46,55,60,79,90,31,45,78,53,38,97,64,60,31,19,17,64,55,0,100,0,59,84,8,86,85,80,10,18,21,91,75,67,32,55,89,28,62,92,38,86,87,89,80,34,48,33,0,54,30,27,41,76,47,81,53,39,78,73,54,59,92,68,65,57,46,23,12,35,35,82,89,30,0,24,51,72,65,54,23,0,72,19,45,56,53,37,27,0,86,72,76,64,56,15,74,36,88,0,58,54,32,0,48,71,63,67,54,19,15,55,16,18,70,40,53,0,51,75,21,0,74,17,63,47,42,9,59,23,77,39,72,31,51,7,23,0,35,51,69,29
2004-10-01,6,86,7,30,37,15,48,46,59,93,97,38,55,65,44,55,95,52,59,0,23,18,67,56,0,78,0,54,92,10,91,97,84,12,25,29,46,70,100,41,64,86,29,62,87,39,85,85,90,58,39,57,0,0,45,31,11,43,72,70,87,71,44,93,81,70,73,89,68,100,64,52,23,12,41,96,86,85,42,43,61,67,49,66,76,36,0,70,47,65,65,94,9,32,24,78,71,89,83,100,15,51,40,100,0,55,55,66,71,46,77,65,87,91,60,62,79,25,24,64,54,59,38,70,78,28,10,53,43,86,42,36,47,73,28,67,62,74,37,57,18,34,0,28,73,73,36
2004-11-01,6,80,7,82,34,13,47,76,56,77,90,83,45,65,77,45,82,26,52,0,18,18,66,42,0,78,0,54,91,8,90,90,91,17,21,23,63,65,39,31,55,87,27,64,86,39,92,89,84,59,44,61,34,0,57,28,33,47,67,58,88,64,40,83,78,57,37,83,64,0,67,23,24,37,47,61,82,92,10,53,31,60,50,53,56,25,0,87,27,99,66,63,47,30,12,87,78,89,56,70,46,58,44,47,0,52,22,100,0,50,72,64,88,67,20,63,55,18,19,54,47,41,0,53,79,22,10,100,51,71,40,21,10,55,27,64,39,77,46,43,15,47,0,32,53,80,24
2004-12-01,5,60,7,38,26,15,46,65,58,89,95,64,38,53,60,30,83,36,52,29,10,12,43,26,0,67,0,55,81,6,79,65,81,17,14,19,71,58,14,31,47,85,25,54,78,37,72,84,72,56,42,59,0,0,52,29,15,44,63,26,81,46,46,84,71,51,45,88,62,0,52,22,22,34,33,22,72,57,67,10,51,55,0,12,37,20,0,64,31,67,50,50,69,25,11,81,74,81,62,56,14,59,37,56,0,51,31,31,0,39,66,60,67,42,0,72,43,15,15,52,21,40,0,40,56,17,19,56,28,74,29,11,9,51,20,62,29,66,21,53,21,34,0,11,87,85,24
2005-01-01,6,51,6,24,26,16,50,55,48,79,90,67,33,41,72,26,82,32,58,38,14,7,63,0,0,81,62,51,87,5,85,69,97,14,14,18,25,67,19,36,40,90,26,56,88,42,94,84,81,54,49,46,28,0,41,23,27,43,68,28,85,47,34,74,71,41,29,86,66,27,51,15,19,20,29,39,73,65,92,18,34,79,100,64,20,16,0,62,17,37,34,55,30,26,20,74,77,58,49,69,19,36,25,67,0,47,63,40,0,51,68,61,59,37,16,63,46,8,11,59,32,34,31,32,48,14,8,80,28,48,23,8,8,39,23,57,16,70,26,40,6,24,0,10,51,89,20
2005-02-01,6,59,10,24,24,16,57,56,47,89,88,71,35,100,19,29,90,68,57,82,14,10,70,49,0,89,0,54,90,7,93,77,94,12,14,11,40,62,17,35,48,87,27,63,88,40,90,82,79,57,44,49,0,0,41,24,19,41,70,28,86,52,35,82,73,46,21,90,70,29,49,16,41,21,18,31,78,78,45,0,53,72,22,0,48,17,0,83,21,46,40,50,73,29,0,74,72,77,89,71,40,33,29,26,0,55,67,0,0,53,82,65,90,58,0,27,54,11,10,45,45,47,0,39,70,14,0,66,39,49,39,14,17,50,29,75,25,79,20,66,16,17,0,14,45,83,19
2005-03-01,5,61,11,27,19,17,47,54,63,81,88,59,51,47,47,35,88,47,85,22,14,17,56,20,0,82,54,54,88,7,88,88,96,12,20,25,44,69,25,44,72,87,27,59,85,37,90,88,79,56,41,69,0,0,51,38,31,48,69,42,87,48,32,93,69,49,61,86,78,48,47,34,25,26,37,34,79,71,45,31,44,80,18,85,65,27,0,75,41,42,57,41,60,32,9,74,67,71,57,67,33,64,35,62,0,54,63,12,0,54,71,66,82,49,14,56,47,19,20,64,29,48,27,52,78,21,15,54,40,65,39,14,27,72,20,67,43,80,56,78,16,38,0,14,52,81,33
2005-04-01,6,63,7,28,19,16,44,61,67,81,88,41,54,58,44,39,87,63,67,25,15,21,52,68,0,94,0,53,93,8,90,92,89,11,25,24,100,72,13,38,81,85,28,57,85,40,86,92,76,57,34,37,0,0,56,62,40,61,73,70,93,56,35,100,74,53,39,87,75,0,62,34,10,0,38,78,85,76,93,26,65,73,20,86,70,30,0,79,37,64,55,63,46,34,0,75,67,86,60,84,25,83,28,78,0,55,36,67,0,62,76,66,78,37,0,38,58,19,21,81,48,66,0,70,77,24,0,74,29,57,42,23,54,99,31,97,56,75,71,76,12,25,0,39,17,91,29
2005-05-01,5,56,8,29,20,16,46,84,49,92,88,26,42,40,69,38,83,74,60,0,17,13,53,30,52,89,0,53,82,8,87,84,77,10,17,24,43,55,27,34,69,83,27,56,85,42,88,88,82,58,33,32,24,0,44,36,31,50,76,54,80,67,31,59,69,65,56,87,71,24,50,13,33,26,25,68,83,65,81,31,39,63,70,37,53,22,0,79,31,65,44,44,26,30,17,71,67,77,53,62,22,81,27,43,55,52,23,35,0,56,72,61,56,24,14,99,40,17,18,69,26,33,0,51,82,18,14,64,28,59,36,17,20,67,31,71,25,79,29,48,13,31,0,8,37,100,25
2005-06-01,5,40,7,27,17,16,50,46,44,82,91,67,44,77,39,44,82,65,61,22,20,19,44,80,53,71,54,53,71,6,83,63,76,10,19,27,88,49,14,48,76,85,25,46,68,41,100,82,76,47,30,43,0,0,42,42,46,41,85,46,67,39,34,60,66,43,43,85,65,0,29,23,41,17,25,25,69,42,22,15,43,26,17,65,68,22,0,47,29,37,42,24,20,24,9,75,72,55,35,51,22,27,29,34,0,44,16,23,0,30,49,54,64,24,14,66,30,17,19,48,19,36,0,47,60,21,0,37,21,43,34,19,54,58,26,61,44,77,45,34,21,19,0,19,0,93,22
2005-07-01,5,70,7,27,16,16,43,24,29,69,100,18,41,31,16,37,81,56,62,23,15,17,29,61,0,56,54,48,68,5,79,52,77,11,19,27,44,70,14,54,69,84,25,44,60,38,88,82,77,44,29,58,24,0,47,30,27,49,84,17,58,28,35,53,61,44,56,88,65,0,42,34,42,17,11,34,73,26,52,16,31,21,53,47,51,25,0,45,33,33,44,41,60,23,9,73,73,39,48,50,22,59,27,41,0,44,24,12,51,44,42,54,61,24,28,11,24,18,22,37,20,57,0,35,65,22,0,54,18,64,33,9,20,48,23,59,41,72,30,24,26,22,80,8,0,89,27
2005-08-01,5,50,6,26,19,17,44,32,43,89,100,57,70,46,69,78,94,27,81,33,21,37,57,39,0,64,0,56,62,6,88,58,80,14,44,45,22,92,27,66,100,83,25,48,63,37,91,83,86,46,31,32,24,0,70,69,69,78,100,50,61,31,50,78,74,34,47,91,70,0,41,59,49,8,32,50,73,45,44,53,77,63,17,28,96,54,0,54,62,46,71,40,26,30,0,77,69,58,46,59,32,44,34,85,0,53,54,69,0,45,46,59,58,63,0,22,33,33,36,80,17,71,26,71,88,42,7,80,18,35,28,100,47,83,26,52,86,75,100,38,13,33,0,100,44,86,27
2005-09-01,5,55,6,25,18,17,40,43,59,80,94,100,66,73,83,78,94,100,100,20,16,32,62,18,0,71,0,58,75,8,94,71,91,14,34,49,59,85,39,62,94,78,25,51,84,36,88,84,78,49,38,47,22,68,61,52,100,81,84,77,76,34,33,68,99,47,96,85,64,0,45,33,30,8,33,69,74,73,40,68,58,81,47,51,51,52,0,61,60,100,90,47,48,34,0,85,63,58,63,60,24,40,44,76,49,48,14,42,0,34,65,62,68,35,0,40,60,31,32,83,39,100,0,100,100,37,6,92,26,54,37,66,97,73,25,69,77,72,32,65,16,25,0,93,33,81,36
2005-10-01,5,62,9,31,19,17,45,34,41,84,94,64,48,64,26,56,85,54,64,56,17,17,44,100,44,76,0,50,81,8,97,81,85,14,26,31,55,66,21,48,65,78,24,55,83,36,83,84,78,51,55,53,0,95,48,50,42,60,84,49,85,37,36,84,100,49,36,85,64,20,44,25,0,7,55,78,77,82,61,26,47,35,44,71,60,34,0,63,39,66,44,51,44,33,0,73,58,72,54,74,23,45,37,72,0,46,66,78,0,45,67,65,63,33,0,55,62,22,20,57,40,97,0,72,80,25,12,95,31,51,39,13,73,79,28,89,40,72,33,67,18,38,66,7,37,70,30
2005-11-01,5,63,8,83,21,18,43,46,46,87,92,45,44,39,32,44,85,70,58,56,15,14,49,33,0,81,44,50,80,8,95,74,81,16,23,29,73,54,9,46,55,79,24,54,76,34,82,86,75,55,59,53,0,64,42,54,16,44,76,45,83,49,33,88,82,58,51,82,59,0,71,28,28,22,40,100,72,69,37,57,36,80,44,47,42,28,0,73,36,55,48,39,45,31,22,78,57,74,58,65,50,30,37,69,0,51,39,59,0,57,64,62,77,7,0,74,74,21,21,50,41,71,22,46,69,21,6,72,37,44,33,19,51,80,28,71,31,74,38,46,26,36,0,24,25,73,24
2005-12-01,5,46,7,36,20,16,46,38,39,92,92,29,32,72,38,48,74,69,58,37,13,10,41,49,0,63,0,55,80,7,80,61,73,24,18,27,18,55,27,38,59,76,23,48,67,36,70,76,66,53,58,39,100,0,46,39,32,43,62,32,73,35,43,43,77,36,25,80,51,19,63,22,34,7,54,35,58,59,67,25,32,52,14,31,30,20,0,55,25,46,38,55,27,27,7,79,51,62,47,51,18,41,46,50,0,44,45,19,0,58,56,60,77,26,23,27,45,14,14,46,30,50,0,37,65,15,18,53,41,52,27,8,39,46,26,48,31,64,38,45,17,25,65,9,43,69,27
2006-01-01,5,41,7,23,16,19,55,37,39,83,90,58,39,63,56,52,81,40,58,56,13,13,43,50,77,70,39,52,77,7,90,59,79,20,17,26,32,73,30,100,70,87,23,52,78,37,92,78,75,55,96,33,18,55,44,38,25,35,69,37,74,36,33,49,82,43,44,81,64,51,42,10,12,19,11,43,68,58,32,44,25,58,51,48,41,24,0,59,32,20,43,26,34,27,0,73,56,42,42,57,24,29,52,38,0,47,51,17,0,48,61,58,66,29,10,40,34,14,17,45,19,60,0,54,61,19,0,82,14,44,26,9,15,41,19,67,34,70,24,50,4,12,0,6,21,78,28
2006-02-01,5,47,7,21,16,18,62,40,41,91,89,40,42,61,17,60,84,28,63,17,17,15,43,89,0,73,0,54,84,6,97,77,90,19,19,22,32,70,25,84,71,81,23,58,76,40,87,78,71,58,100,58,27,0,41,54,23,44,70,43,74,35,40,73,81,35,29,81,63,36,38,20,25,19,38,45,67,71,39,17,52,100,66,43,43,26,0,61,35,46,61,38,50,30,20,71,52,54,46,54,16,48,52,89,0,48,23,62,0,44,66,62,59,6,11,25,59,16,17,64,42,82,20,48,68,20,5,98,34,49,41,6,15,46,20,56,41,71,34,47,14,37,0,6,33,70,22
2006-03-01,5,48,6,23,17,18,53,43,45,84,88,40,39,58,64,45,84,53,61,21,15,12,53,44,0,69,0,50,79,7,93,73,81,16,16,19,42,64,24,72,69,77,23,51,69,34,90,80,73,52,75,48,15,48,46,52,30,42,74,48,77,39,30,74,73,49,28,80,63,76,49,19,11,50,40,49,72,62,47,53,33,44,34,18,37,21,0,69,24,27,38,30,34,30,11,70,54,63,55,54,14,55,48,51,0,47,35,15,0,48,62,66,69,30,18,35,50,16,16,50,39,63,17,54,65,19,9,48,34,64,35,7,52,54,25,63,33,75,48,63,15,29,0,5,28,71,25
2006-04-01,5,46,6,26,16,20,73,50,48,80,90,49,50,46,59,60,91,38,63,46,16,32,50,41,0,61,37,49,77,7,91,69,90,24,36,34,45,87,26,90,83,76,23,52,69,33,84,82,69,52,64,61,33,52,51,69,32,64,75,67,78,42,36,72,67,46,38,79,68,49,68,39,23,12,35,53,65,60,56,63,56,73,72,39,69,36,0,55,45,57,69,43,82,31,18,70,52,82,44,69,15,43,75,78,0,46,38,16,0,47,63,61,57,16,0,30,52,25,25,54,27,74,73,67,75,29,25,52,38,46,50,43,56,70,28,60,54,78,56,67,14,33,54,39,41,77,26
2006-05-01,5,46,6,25,15,18,64,65,50,82,91,50,49,42,34,58,88,52,64,21,15,22,46,50,0,75,0,50,71,6,89,66,100,32,26,34,48,80,27,70,70,74,23,51,72,36,87,81,72,53,56,58,61,94,53,84,41,67,78,72,77,57,33,87,73,62,41,81,72,45,48,29,26,27,37,49,74,59,70,29,55,94,0,24,73,32,0,59,36,50,68,44,42,31,16,68,59,60,41,56,21,43,78,54,35,50,30,22,0,57,63,58,62,25,9,56,45,20,21,63,25,67,34,45,69,26,18,75,41,36,32,5,34,75,28,71,50,79,48,61,38,21,100,9,56,77,33
2006-06-01,4,36,6,23,15,17,62,36,33,75,87,68,35,41,31,44,76,31,55,30,14,13,37,60,0,56,35,48,58,6,81,49,85,23,18,16,29,49,16,65,56,74,24,41,60,36,93,71,74,43,47,38,24,50,41,46,31,47,74,29,66,29,43,68,65,35,34,81,68,32,45,9,17,11,24,23,68,45,34,30,38,60,47,44,31,23,0,38,26,34,39,38,13,23,0,73,59,44,29,47,22,45,50,49,0,58,21,8,34,54,41,54,64,26,19,37,32,11,13,41,23,48,18,44,53,17,0,54,19,36,27,3,36,50,22,51,37,80,33,28,9,25,53,2,25,82,26
2006-07-01,5,32,12,25,11,18,45,22,22,83,88,35,40,34,46,53,71,24,54,15,12,19,44,53,0,43,35,46,56,5,80,44,70,22,21,28,58,55,13,58,68,75,22,100,51,34,89,68,70,42,41,53,24,100,37,44,38,50,70,23,53,19,39,65,64,38,46,82,67,16,36,24,16,0,24,34,66,40,10,5,26,21,0,37,66,28,0,35,42,15,33,23,13,22,23,68,52,38,35,43,14,60,49,46,0,40,15,23,0,44,100,53,50,36,0,22,24,16,18,37,22,60,18,44,53,22,14,54,8,35,20,10,13,41,18,47,44,74,17,32,21,19,0,7,20,68,25
2006-08-01,5,42,8,25,11,19,53,23,24,77,90,41,39,47,43,51,75,40,56,14,17,16,38,43,0,44,0,57,54,7,82,45,75,18,21,20,27,59,20,52,68,73,22,65,54,33,88,71,70,40,44,63,29,46,39,48,17,48,76,25,59,20,38,49,65,42,32,86,75,29,44,8,15,16,16,57,64,45,45,14,32,45,43,29,37,29,0,38,28,28,47,28,61,23,0,76,54,45,34,49,10,47,39,57,0,42,57,14,0,43,73,55,46,25,0,47,31,17,18,46,21,60,0,47,63,23,9,56,11,44,25,16,8,50,21,50,40,81,22,29,13,10,0,15,18,79,19
2006-09-01,5,49,6,22,13,19,47,34,38,75,91,60,48,36,18,55,72,38,52,26,17,18,38,52,31,61,62,46,61,8,84,56,75,16,27,30,38,53,22,46,52,69,21,51,68,29,81,73,72,41,44,44,28,44,43,43,29,40,71,28,61,27,32,52,69,44,38,77,59,14,38,15,5,15,36,25,57,71,48,40,30,34,31,22,63,38,0,49,51,19,55,25,31,26,0,78,47,31,48,52,25,37,46,21,0,40,18,41,0,38,65,59,41,32,8,26,50,22,24,46,34,69,16,43,55,26,8,35,17,38,28,11,36,57,21,70,50,66,38,41,20,11,93,7,4,64,31
2006-10-01,5,43,6,27,16,17,39,40,55,75,89,43,43,71,25,53,70,39,55,36,16,15,34,32,0,56,0,44,68,8,89,59,76,16,23,24,29,47,17,44,42,68,21,46,65,29,76,72,66,43,42,47,13,80,42,42,14,38,72,27,65,25,33,48,69,37,29,76,59,37,38,25,26,14,52,45,63,69,54,16,48,45,18,10,30,32,0,54,36,42,32,31,21,24,18,69,45,46,41,59,14,33,47,46,29,37,37,49,0,41,57,60,53,25,15,46,62,17,20,42,45,62,28,37,52,22,4,31,32,42,35,12,25,47,20,69,36,66,28,62,15,19,83,15,31,65,24
2006-11-01,5,42,6,75,18,18,41,40,41,73,81,21,36,55,52,100,68,38,49,17,14,10,40,62,27,60,0,43,70,8,87,65,73,16,16,16,0,48,14,41,39,70,22,46,61,31,77,72,65,46,42,28,37,39,38,51,30,32,66,29,72,30,31,46,62,41,38,75,59,74,33,16,9,13,28,62,65,69,42,8,36,47,55,39,37,22,0,55,29,31,36,25,24,25,18,76,47,61,52,60,14,23,43,38,29,40,45,37,0,33,56,59,57,21,7,46,56,13,13,36,25,46,0,44,53,17,19,42,34,38,30,5,10,48,22,61,27,65,36,47,11,25,41,6,15,70,23
2006-12-01,5,33,6,34,18,20,43,37,38,75,82,50,25,52,37,39,57,50,46,24,9,8,24,32,57,50,0,41,60,6,76,45,62,18,11,13,24,43,12,30,39,68,20,42,54,29,65,66,57,43,44,53,13,81,28,37,19,34,56,19,62,24,40,44,55,33,16,73,50,13,31,12,22,0,10,27,54,46,40,16,35,28,9,50,13,16,0,36,20,35,32,22,25,20,19,75,45,52,32,51,9,19,36,28,30,40,34,25,0,27,47,54,43,13,0,47,41,9,10,31,23,34,14,30,46,12,4,23,29,33,27,4,14,24,16,41,15,54,16,36,20,20,42,6,4,65,16
2007-01-01,5,31,6,21,19,21,44,43,38,72,83,27,43,47,29,55,65,47,54,26,15,14,36,46,0,62,0,46,68,5,86,50,73,16,21,24,51,51,21,43,32,73,21,46,64,31,81,68,69,42,47,62,11,35,39,45,11,33,65,20,71,25,36,49,63,37,55,74,66,0,23,11,27,4,36,52,53,45,35,21,30,42,16,44,45,26,0,43,42,46,34,26,28,24,0,68,51,46,35,45,13,27,42,37,0,39,29,5,0,31,56,59,40,15,0,10,30,20,22,43,19,47,25,39,48,22,3,38,22,31,23,18,19,44,22,29,33,72,21,49,20,20,37,21,17,72,21
2007-02-01,4,33,6,20,16,21,50,36,32,71,79,24,33,85,23,36,66,27,56,16,12,10,37,34,0,56,78,43,67,9,90,53,70,17,15,15,21,45,11,39,27,71,21,45,59,31,78,67,63,42,48,33,24,0,36,33,6,34,64,21,72,23,32,48,59,40,32,76,62,12,34,13,21,13,34,42,63,54,51,11,28,31,61,42,39,20,0,43,25,37,38,35,39,25,4,65,45,45,39,50,11,36,42,30,0,40,23,0,0,34,51,61,44,16,7,38,51,14,14,45,33,55,13,35,50,14,0,48,30,29,28,12,27,33,25,51,22,69,31,54,10,29,39,7,26,76,20
